PARTNO,ROUTECD,PARTCUSTID,TRANSCD,QTY,DATE,TIME,PART_ID,datetime
C6777137040,SDHN,J761,3,50.0,2025-07-08,09:04:03,C6777137040,2025-07-08 09:04:03
A1632121020,R6,A713,8,1.0,2025-07-04,15:08:05,A1632121020,2025-07-04 15:08:05
A165710M020,R6,A713,8,1.0,2025-07-04,15:08:05,A165710M020,2025-07-04 15:08:05
A167110M010,R6,A713,8,1.0,2025-07-04,15:08:05,A167110M010,2025-07-04 15:08:05
A1636121080,R6,A713,8,1.0,2025-07-04,15:08:05,A1636121080,2025-07-04 15:08:05
A9009905164,R6,A713,8,1.0,2025-07-04,15:08:05,A9009905164,2025-07-04 15:08:05
A527120D100,R8,C719,3,1.0,2025-07-03,09:08:03,A527120D100,2025-07-03 09:08:03
A8521430280,R8,C719,8,1.0,2025-07-03,09:44:05,A8521430280,2025-07-03 09:44:05
FTWY447159420,R5,C703,3,1.0,2025-07-08,09:38:04,FTWY447159420,2025-07-08 09:38:04
C5392425010,SDHN,J761,3,2.0,2025-07-03,09:06:05,C5392425010,2025-07-03 09:06:05
C9046710162,SDHN,J761,3,20.0,2025-07-08,09:04:03,C9046710162,2025-07-08 09:04:03
A9031135069,R5,C73H,3,1.0,2025-07-08,10:24:04,A9031135069,2025-07-08 10:24:04
CSH79211045,R8,J717,3,16.0,2025-07-03,08:44:02,CSH79211045,2025-07-03 08:44:02
C89463E0601,R10,J701,3,1.0,2025-07-04,16:34:03,C89463E0601,2025-07-04 16:34:03
G0882600080,R10,J718,3,1.0,2025-07-01,11:22:03,G0882600080,2025-07-01 11:22:03
A281000D051,R5,C703,3,1.0,2025-07-08,09:54:05,A281000D051,2025-07-08 09:54:05
A5611530120,R2,A726,3,2.0,2025-07-04,16:54:05,A5611530120,2025-07-04 16:54:05
A6788842010,R1,B742,3,1.0,2025-07-07,10:50:06,A6788842010,2025-07-07 10:50:06
A8521453080,R18,B721,3,1.0,2025-07-01,10:50:09,A8521453080,2025-07-01 10:50:09
NP75014200285,R8,C719,3,1.0,2025-07-01,10:06:05,NP75014200285,2025-07-01 10:06:05
C8162037180,SDHN,J761,3,1.0,2025-07-01,10:06:05,C8162037180,2025-07-01 10:06:05
C8117037670,SDHN,J761,3,1.0,2025-07-01,10:06:05,C8117037670,2025-07-01 10:06:05
A8432933090,R14,B701,3,1.0,2025-07-01,11:28:04,A8432933090,2025-07-01 11:28:04
FTWY447157682,R4,A703,3,1.0,2025-07-01,11:44:05,FTWY447157682,2025-07-01 11:44:05
D9091902269,R5,C751,3,1.0,2025-07-01,13:14:02,D9091902269,2025-07-01 13:14:02
A1632137010,R6,A713,3,1.0,2025-07-01,14:06:01,A1632137010,2025-07-01 14:06:01
A9046715022,R6,A713,3,2.0,2025-07-01,14:06:01,A9046715022,2025-07-01 14:06:01
A8851502700,R4,A703,3,1.0,2025-07-01,11:44:05,A8851502700,2025-07-01 11:44:05
A1657722H02,R6,A713,3,1.0,2025-07-01,14:06:01,A1657722H02,2025-07-01 14:06:01
C5612125040,SDHN,J761,3,1.0,2025-07-05,09:44:04,C5612125040,2025-07-05 09:44:04
C8117037670,SDHN,J761,3,1.0,2025-07-02,09:14:02,C8117037670,2025-07-02 09:14:02
C7531137330,SDHN,J761,3,1.0,2025-07-02,09:14:02,C7531137330,2025-07-02 09:14:02
C8534295J01,SDHN,J761,3,2.0,2025-07-02,09:14:02,C8534295J01,2025-07-02 09:14:02
F0474002110T,R5,J753,3,2.0,2025-07-02,08:52:01,F0474002110T,2025-07-02 08:52:01
C7531137320,SDHN,J761,3,1.0,2025-07-02,09:14:02,C7531137320,2025-07-02 09:14:02
C23701E0170,R5,J753,3,1.0,2025-07-02,08:52:01,C23701E0170,2025-07-02 08:52:01
CS177041060,R5,J753,3,2.0,2025-07-02,08:52:01,CS177041060,2025-07-02 08:52:01
C87245E0C12,R5,J753,3,1.0,2025-07-02,08:52:01,C87245E0C12,2025-07-02 08:52:01
C15613EV052,R5,J753,3,10.0,2025-07-02,08:52:01,C15613EV052,2025-07-02 08:52:01
D0446522312,R5,C753,3,1.0,2025-07-02,10:26:02,D0446522312,2025-07-02 10:26:02
C15613EV043,R5,J753,3,10.0,2025-07-02,08:52:01,C15613EV043,2025-07-02 08:52:01
A524370D040,R8,C719,3,1.0,2025-07-02,09:40:12,A524370D040,2025-07-02 09:40:12
C9007599106,SDHN,J761,3,5.0,2025-07-08,09:04:03,C9007599106,2025-07-08 09:04:03
C814820W030,SDHN,J761,3,1.0,2025-07-08,09:04:03,C814820W030,2025-07-08 09:04:03
G8161525020,SDHN,J761,3,2.0,2025-07-08,09:04:03,G8161525020,2025-07-08 09:04:03
C51784E0040,SDHN,J761,3,1.0,2025-07-08,10:42:03,C51784E0040,2025-07-08 10:42:03
A4806909025,R18,B721,3,1.0,2025-07-08,10:52:04,A4806909025,2025-07-08 10:52:04
A8951602220,R1,B742,3,1.0,2025-07-08,10:52:04,A8951602220,2025-07-08 10:52:04
A4245002211,R1,B742,3,1.0,2025-07-08,10:52:04,A4245002211,2025-07-08 10:52:04
C8550012240,SDHN,J761,3,1.0,2025-07-03,10:16:02,C8550012240,2025-07-03 10:16:02
A525350D160,R8,C719,3,1.0,2025-07-03,10:38:03,A525350D160,2025-07-03 10:38:03
CS112131880,R5,J753,3,5.0,2025-07-08,11:18:03,CS112131880,2025-07-08 11:18:03
A270600V120,R19,C731,3,1.0,2025-07-08,11:00:19,A270600V120,2025-07-08 11:00:19
A31232BZ080,R19,A713,3,1.0,2025-07-08,11:58:06,A31232BZ080,2025-07-08 11:58:06
A4243102110,R5,C703,8,2.0,2025-07-09,10:46:04,A4243102110,2025-07-09 10:46:04
N12040HWGA,R2,A726,3,1.0,2025-07-04,16:54:05,N12040HWGA,2025-07-04 16:54:05
